frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.423957,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.424205,149,0,772,0,0x0800,4,20,0x00,0,133,0x40,1,64,17,0
2.424499,108,0,772,0,0x0800,4,20,0x00,0,92,0x40,1,64,17,0
2.424673,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.4247,97,4,1,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.425135,87,0,772,0,0x0800,4,20,0x00,0,71,0x40,1,64,17,0
2.425281,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,17,0
2.425324,87,0,772,0,0x0800,4,20,0x00,0,71,0x40,1,64,17,0
2.425466,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,17,0
2.432083,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.432111,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.432314,495,4,1,0,0x0800,4,20,0x00,0,479,0x40,1,64,6,0
2.451469,68,0,1,0,0x0800,4,20,0x80,32,52,0x00,0,119,6,0
2.452882,284,0,1,0,0x0800,4,20,0x60,24,268,0x00,0,120,6,0
2.4529,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.454483,251,0,1,0,0x0800,4,20,0x00,0,235,0x00,0,64,17,0
2.454802,262,0,772,0,0x0800,4,20,0x00,0,246,0x40,1,64,17,0
2.456052,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.456081,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.456241,495,4,1,0,0x0800,4,20,0x00,0,479,0x40,1,64,6,0
2.463676,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.47406,175,0,1,0,0x0800,4,20,0x00,0,159,0x00,0,64,17,0
2.474444,186,0,772,0,0x0800,4,20,0x00,0,170,0x40,1,64,17,0
2.478723,199,0,1,0,0x0800,4,20,0x00,0,183,0x00,0,64,17,0
2.47907,210,0,772,0,0x0800,4,20,0x00,0,194,0x40,1,64,17,0
2.480074,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.487445,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
